gl_pSerPort now points to active Serial (USB or Wixel)
7950: Starting setup() for WallE3_Complete_V2.ino

Checking for MPU6050 IMU at I2C Addr 0x68
MPU6050 connection successful
Initializing DMP...
Enabling DMP...
DMP ready! Waiting for MPU6050 drift rate to settle...
Calibrating...Retrieving Calibration Values


Msec	Hdg
10516	-0.051	-0.039
MPU6050 Ready at 10.52 Sec with delta = -0.013
Checking for Teensy 3.5 VL53L0X Controller at I2C addr 0x20
Teensy available at 11616 with gl_bVL53L0X_TeensyReady = 1. Waiting for Teensy setup() to finish
11619: got 1 from VL53L0X Teensy
Teensy setup() finished at 11721 mSec
VL53L0X Teensy Ready at 11723

Checking for Garmin LIDAR at Wire2 I2C addr 0x62
LIDAR Responded to query at Wire2 address 0x62!
Setting LIDAR acquisition repeat value to 0x02 for <100mSec measurement repeat delay
Initializing Front Distance Array...Done
Initializing Rear Distance Array...Done

Checking for Teensy 3.2 IRDET Controller at I2C addr 0x8
11812: IRDET Teensy Not Avail...
IRDET Teensy Ready at 11914
Fin1/Fin2/SteeringVal = 10	38	-0.5714
11916: Initializing IR Beam Value Averaging Array...Done
11919: Initializing IR Beam Value Averaging Array...Done
Battery Voltage = 8.13

14126:	Top of loop() - calling UpdateAllEnvironmentParameters()
Battery Voltage = 8.12
IRHomingValTotalAvg = 58 
14263: gl_LeftCenterCm = 22.00 gl_RightCenterCm = 200.00

TrackLeftWallOffset(350.0, 0.0, 0.0, 40) called

TrackLeftWallOffset: Start tracking offset of 40cm with gl_ElapsedSec = 14.1


Sec	LCen	RCen	Front	Rear	FVar	RVar	HdgDeg	ANOMALYCODE
4.0	33.0	200.0	490	200.0	39407	4129	-8.7	NONE
4.1	32.0	200.0	487	200.0	38310	4236	-6.8	NONE
4.2	32.0	200.0	1000	200.0	50896	4334	-0.3	NONE
4.3	32.0	200.0	331	200.0	48214	4422	2.2	NONE
4.4	33.0	200.0	314	200.0	45827	4501	4.7	NONE
4.5	32.0	200.0	312	200.0	44309	4571	4.6	NONE
4.6	33.0	200.0	310	200.0	30677	4629	4.1	NONE
4.7	33.0	200.0	303	200.0	30991	4678	3.9	NONE
4.8	34.0	200.0	297	200.0	31294	4715	4.2	NONE
4.9	35.0	200.0	290	200.0	31599	4740	4.1	NONE
5.0	35.0	200.0	289	200.0	31885	4753	3.9	NONE
5.1	35.0	200.0	286	200.0	32181	4710	2.6	NONE
5.2	36.0	200.0	286	200.0	32478	4644	0.2	NONE
5.3	36.0	200.0	1000	200.0	47184	4541	-2.9	NONE
5.4	35.0	200.0	522	200.0	47610	4425	-3.1	NONE
5.5	35.0	200.0	1000	200.0	60788	4290	-1.4	NONE
5.6	35.0	200.0	1000	200.0	72667	4148	-0.2	NONE
5.7	35.0	200.0	260	200.0	68843	3984	0.2	NONE
5.8	35.0	200.0	268	200.0	69601	3827	-0.7	NONE
5.9	36.0	200.0	1000	200.0	81777	3692	-2.2	NONE
6.0	35.0	200.0	1000	200.0	90375	3554	-2.8	NONE
6.1	34.0	200.0	1000	200.0	96830	3390	-2.4	NONE
6.2	35.0	200.0	1000	200.0	101333	3200	-2.0	NONE
6.3	34.0	200.0	1000	200.0	103658	3017	-2.8	NONE
6.4	35.0	200.0	683	200.0	103678	2834	-3.4	NONE
6.5	35.0	200.0	849	200.0	105780	2644	-3.5	NONE
6.6	35.0	200.0	873	200.0	107904	2442	-4.1	NONE
6.7	34.0	200.0	1000	200.0	107904	2275	-4.1	NONE
6.8	33.0	200.0	537	200.0	104789	2114	-3.5	NONE
6.9	33.0	200.0	633	200.0	100705	1918	-3.3	NONE
7.0	34.0	200.0	1000	200.0	100832	1716	-2.4	NONE
7.1	34.0	200.0	972	200.0	98731	1547	-1.0	NONE
7.2	33.0	200.0	979	200.0	95138	1370	-0.5	NONE
7.3	34.0	200.0	866	200.0	88272	1214	0.3	NONE
7.4	34.0	108.0	1000	200.0	81858	1030	0.4	NONE
7.5	33.0	102.0	967	200.0	73305	847	-0.4	NONE
7.6	35.0	101.0	1000	200.0	63565	704	-0.8	NONE
7.7	35.0	107.0	931	200.0	51584	570	-1.4	NONE
7.8	34.0	114.0	661	200.0	52026	402	-1.1	NONE
7.9	34.0	200.0	1000	200.0	48638	237	-0.1	NONE
8.0	34.0	200.0	777	200.0	48035	113	0.3	NONE
8.1	35.0	200.0	661	200.0	48387	 0	0.4	NONE
8.2	35.0	200.0	1000	200.0	35275	 0	0.9	NONE
8.3	35.0	200.0	541	200.0	25071	 0	1.9	NONE
8.4	35.0	200.0	130	200.0	45589	 0	3.1	NONE
8.5	35.0	200.0	125	200.0	63957	 0	4.6	NONE
8.6	35.0	200.0	120	200.0	80135	 0	4.3	NONE
8.7	36.0	200.0	116	200.0	94032	 0	3.3	NONE
8.8	37.0	200.0	112	200.0	105618	 0	2.5	NONE
8.9	39.0	112.0	1000	200.0	109012	 0	0.5	NONE
9.0	42.0	112.0	876	200.0	109331	 0	-2.8	NONE
9.1	42.0	98.0	536	200.0	109435	 0	-8.4	NONE
9.2	43.0	95.0	263	200.0	112699	 0	-12.4	NONE
9.3	42.0	80.0	229	200.0	119671	 0	-20.5	NONE
9.4	41.0	72.0	301	200.0	124616	 0	-34.5	NONE
9.5	44.0	65.0	849	200.0	121221	 0	-44.0	NONE
9.6	44.0	64.0	821	200.0	118092	 0	-47.4	NONE
9.7	41.0	64.0	833	200.0	114886	 0	-45.1	NONE
9.8	40.0	65.0	878	200.0	115119	 0	-39.7	NONE
9.9	41.0	65.0	735	200.0	109952	 0	-36.0	NONE
10.0	42.0	65.0	728	200.0	105482	 0	-37.3	NONE
10.1	43.0	63.0	724	200.0	99772	 0	-39.7	NONE
10.2	43.0	62.0	886	200.0	98651	 0	-44.2	NONE
10.3	42.0	62.0	773	200.0	99714	 0	-50.5	NONE
10.4	42.0	62.0	356	200.0	95061	 0	-54.5	NONE
10.5	42.0	60.0	234	200.0	97600	 0	-61.1	NONE
10.6	43.0	62.0	141	200.0	103493	 0	-64.4	NONE
10.7	43.0	200.0	141	200.0	99686	 0	-63.1	NONE
10.8	40.0	200.0	226	200.0	102411	 0	-59.5	NONE
10.9	38.0	200.0	330	200.0	98262	 0	-53.1	NONE
11.0	35.0	200.0	777	200.0	95374	 0	-44.2	NONE
11.1	36.0	72.0	874	200.0	93114	 0	-40.4	NONE
11.2	37.0	200.0	685	200.0	85810	 0	-39.7	NONE
11.3	38.0	200.0	666	200.0	77194	 0	-40.0	NONE
11.4	38.0	200.0	677	200.0	70722	 0	-40.0	NONE
11.5	38.0	200.0	718	200.0	67959	 0	-40.5	NONE
11.6	39.0	200.0	865	200.0	71083	 0	-41.9	NONE
11.7	39.0	200.0	804	200.0	68238	 0	-44.3	NONE
11.8	39.0	200.0	728	200.0	62589	 0	-47.0	NONE
11.9	39.0	200.0	708	200.0	58237	 0	-48.1	NONE
12.0	39.0	200.0	689	200.0	56626	 0	-48.5	NONE
12.1	38.0	200.0	679	200.0	55342	 0	-49.8	NONE
12.2	37.0	200.0	328	200.0	57104	 0	-52.4	NONE
12.3	37.0	200.0	302	200.0	57679	 0	-53.0	NONE
12.4	38.0	200.0	308	200.0	59760	 0	-50.8	NONE
12.5	36.0	200.0	654	200.0	59058	 0	-48.9	NONE
12.6	35.0	200.0	673	200.0	58533	 0	-47.6	NONE
12.7	35.0	200.0	679	200.0	54927	 0	-46.7	NONE
12.8	35.0	200.0	681	200.0	53689	 0	-46.1	NONE
12.9	35.0	200.0	687	200.0	52576	 0	-46.6	NONE
13.0	35.0	200.0	672	200.0	48163	 0	-46.9	NONE
13.1	34.0	200.0	667	200.0	39991	 0	-46.0	NONE
13.2	35.0	200.0	672	200.0	30950	 0	-45.1	NONE
13.3	34.0	200.0	679	200.0	24191	 0	-44.8	NONE
13.4	35.0	200.0	670	200.0	19978	 0	-44.4	NONE
13.5	35.0	200.0	663	200.0	19425	 0	-44.2	NONE
13.6	35.0	200.0	667	200.0	17479	 0	-44.1	NONE
13.7	35.0	200.0	668	200.0	17441	 0	-43.7	NONE
13.8	34.0	200.0	689	200.0	17494	 0	-42.7	NONE
13.9	37.0	70.0	724	200.0	17684	 0	-41.0	NONE
14.0	200.0	71.0	645	200.0	17497	 0	-38.3	NONE
14.1	200.0	71.0	552	200.0	15826	 0	-38.7	NONE
In HandleAnomalousConditions with OPEN_DOORWAY error code detected
ANOMALY_OPEN_DOORWAY case detected

28261:	Top of loop() - calling UpdateAllEnvironmentParameters()
Battery Voltage = 7.96
IRHomingValTotalAvg = 36 
28388: gl_LeftCenterCm = 200.00 gl_RightCenterCm = 71.00
gl_LeftCenterCm > gl_RightCenterCm --> Calling TrackRightWallOffset(71)

TrackRightWallOffset(350.0, 0.0, 0.0, 71) called

TrackRightWallOffset: Start tracking offset of 71cm

Msec	LCen	RCen	Front	Rear	FVar	RVar	ANOMALYCODE
28561	200.0	71.0	524	200.0	14972	 0	OPEN_DOORWAY
28614	200.0	72.0	186	200.0	21989	 0	OPEN_DOORWAY
28714	200.0	75.0	188	200.0	28230	 0	OPEN_DOORWAY
28814	200.0	75.0	178	200.0	33147	 0	OPEN_DOORWAY
28922	200.0	77.0	194	200.0	36175	 0	OPEN_DOORWAY
29038	200.0	76.0	531	200.0	33425	 0	OPEN_DOORWAY
29163	200.0	76.0	687	200.0	32316	 0	OPEN_DOORWAY
29245	119.0	78.0	505	200.0	32254	 0	OPEN_DOORWAY
29344	76.0	79.0	486	200.0	32127	 0	OPEN_DOORWAY
29437	66.0	77.0	495	200.0	31796	 0	OPEN_DOORWAY
In HandleAnomalousConditions with WRONG_WALL error code detected
ANOMALY_TRACKING_WRONG_WALL case detected

29445:	Top of loop() - calling UpdateAllEnvironmentParameters()
Battery Voltage = 7.89
IRHomingValTotalAvg = 131 
29521: gl_LeftCenterCm = 62.00 gl_RightCenterCm = 75.00

TrackLeftWallOffset(350.0, 0.0, 0.0, 40) called

TrackLeftWallOffset: Start tracking offset of 40cm with gl_ElapsedSec = 29.5


Sec	LCen	RCen	Front	Rear	FVar	RVar	HdgDeg	ANOMALYCODE

0.2	54.0	73.0	500	200.0	30513	 0	-39.6	WRONG_WALL
0.3	56.0	72.0	637	200.0	30250	 0	-42.1	WRONG_WALL
0.4	48.0	70.0	659	200.0	30121	 0	-40.2	WRONG_WALL
0.5	41.0	71.0	474	200.0	29473	 0	-34.6	WRONG_WALL
0.6	42.0	72.0	450	200.0	28919	 0	-27.3	WRONG_WALL
0.7	44.0	73.0	443	109.0	28332	162	-23.5	WRONG_WALL
0.8	45.0	72.0	443	113.0	27541	304	-25.5	WRONG_WALL
0.9	46.0	68.0	424	200.0	26671	304	-30.0	WRONG_WALL
1.0	46.0	65.0	448	200.0	25192	304	-33.6	WRONG_WALL
1.1	48.0	64.0	541	200.0	23007	304	-41.1	WRONG_WALL
1.2	48.0	63.0	516	200.0	21940	304	-47.9	WRONG_WALL
1.3	49.0	63.0	256	200.0	23468	304	-59.6	WRONG_WALL
1.4	50.0	63.0	139	200.0	24354	304	-67.9	WRONG_WALL
1.5	52.0	69.0	99	113.0	27221	440	-78.6	WRONG_WALL
1.6	52.0	76.0	178	91.0	28188	650	-84.8	WRONG_WALL
1.7	55.0	79.0	149	96.0	28927	831	-83.0	WRONG_WALL
1.8	50.0	81.0	88	200.0	31000	831	-77.2	WRONG_WALL
1.9	46.0	80.0	86	200.0	33146	831	-72.1	WRONG_WALL
2.0	44.0	78.0	94	200.0	35639	831	-69.0	WRONG_WALL
2.1	49.0	79.0	103	200.0	36436	831	-65.9	WRONG_WALL
2.2	54.0	80.0	98	200.0	36688	831	-67.0	WRONG_WALL
2.3	57.0	84.0	80	200.0	38532	831	-70.9	WRONG_WALL
2.4	56.0	85.0	60	200.0	40294	831	-77.5	WRONG_WALL
2.5	53.0	94.0	61	200.0	41436	831	-85.8	WRONG_WALL
2.6	53.0	104.0	147	116.0	40765	937	-95.7	WRONG_WALL
2.7	51.0	200.0	136	94.0	39648	1110	-106.8	WRONG_WALL
2.8	54.0	200.0	184	87.0	34313	1300	-112.3	WRONG_WALL
2.9	53.0	200.0	166	101.0	27683	1430	-110.2	WRONG_WALL
3.0	50.0	200.0	130	111.0	25636	1522	-104.4	WRONG_WALL
3.1	51.0	200.0	116	110.0	23795	1611	-100.8	WRONG_WALL
3.2	50.0	200.0	111	110.0	21770	1694	-103.0	WRONG_WALL
3.3	50.0	200.0	122	120.0	19335	1746	-108.5	WRONG_WALL
3.4	49.0	200.0	159	125.0	16886	1782	-114.5	WRONG_WALL
3.5	50.0	200.0	181	109.0	13700	1850	-121.6	WRONG_WALL
3.6	53.0	23.0	175	112.0	7689	1903	-128.8	WRONG_WALL
3.7	54.0	21.0	272	125.0	2740	1925	-134.7	WRONG_WALL
3.8	54.0	20.0	266	129.0	2840	1935	-136.0	WRONG_WALL
3.9	51.0	34.0	257	200.0	3403	1935	-135.9	WRONG_WALL
4.0	48.0	72.0	254	200.0	3808	1935	-133.9	WRONG_WALL
4.1	47.0	77.0	221	200.0	3986	1935	-129.4	WRONG_WALL
4.2	43.0	76.0	147	200.0	3986	1935	-123.2	WRONG_WALL
4.3	39.0	70.0	148	200.0	3834	1935	-117.0	WRONG_WALL
4.4	39.0	69.0	145	200.0	3661	1935	-115.1	WRONG_WALL
4.5	38.0	72.0	141	200.0	3523	1935	-114.3	WRONG_WALL
4.6	39.0	75.0	133	200.0	3432	1935	-113.6	WRONG_WALL
4.7	37.0	75.0	127	200.0	3329	1935	-113.8	WRONG_WALL
4.8	37.0	75.0	123	200.0	3133	1935	-113.6	WRONG_WALL
4.9	37.0	73.0	114	200.0	2816	1935	-112.8	WRONG_WALL
5.0	37.0	70.0	108	200.0	2523	1935	-112.6	WRONG_WALL
5.1	37.0	69.0	104	200.0	2650	1935	-112.8	WRONG_WALL
5.2	36.0	66.0	101	200.0	2769	1935	-113.4	WRONG_WALL
5.3	39.0	65.0	94	200.0	2909	1935	-113.2	WRONG_WALL
5.4	52.0	63.0	93	200.0	3059	1935	-114.1	WRONG_WALL
5.5	87.0	60.0	90	200.0	3196	1935	-119.0	WRONG_WALL
5.6	84.0	31.0	83	200.0	3333	1935	-125.8	WRONG_WALL
5.7	72.0	22.0	78	200.0	3480	1885	-133.2	WRONG_WALL
5.8	59.0	22.0	84	83.0	3618	1970	-141.9	WRONG_WALL
5.9	47.0	22.0	153	81.0	3615	2098	-152.6	WRONG_WALL
6.0	46.0	25.0	156	96.0	3572	2170	-165.3	WRONG_WALL
6.1	59.0	28.0	146	97.0	3538	2230	-172.9	WRONG_WALL
6.2	58.0	34.0	148	104.0	2874	2265	-170.7	WRONG_WALL
6.3	45.0	36.0	147	102.0	2224	2297	-165.0	WRONG_WALL
6.4	67.0	35.0	102	107.0	1644	2311	-156.6	WRONG_WALL
6.5	87.0	35.0	120	109.0	999	2319	-150.5	WRONG_WALL
6.6	84.0	36.0	101	116.0	624	2266	-152.5	WRONG_WALL
6.7	84.0	38.0	91	113.0	620	2230	-158.2	WRONG_WALL
6.8	86.0	42.0	126	200.0	585	2230	-166.9	WRONG_WALL
6.9	93.0	51.0	113	79.0	551	2310	-177.0	WRONG_WALL
7.0	100.0	52.0	94	57.0	538	2451	173.4	WRONG_WALL
7.1	59.0	42.0	80	47.0	562	2616	162.5	WRONG_WALL
7.2	46.0	32.0	47	45.0	705	2769	150.7	WRONG_WALL
7.3	39.0	39.0	67	45.0	758	2903	138.4	WRONG_WALL
7.4	39.0	200.0	65	54.0	817	2986	128.3	WRONG_WALL
7.5	42.0	82.0	62	9.0	882	3240	123.3	WRONG_WALL
In HandleAnomalousConditions with OBSTACLE_BEHIND error code detected
ANOMALY_OBSTACLE_BEHIND case detected
Moving forward 10 cm with frontdist, reardist = 61, 0
Stopped with frontdist, reardist = 48, -2046820352
In SpinTurn(CW, 45.00, 45.00) with PID = (0.7,0.3,0.0)
average turn rate = 41.6

38264:	Top of loop() - calling UpdateAllEnvironmentParameters()
Battery Voltage = 8.12
IRHomingValTotalAvg = 64 
38289: gl_LeftCenterCm = 55.00 gl_RightCenterCm = 200.00

TrackLeftWallOffset(350.0, 0.0, 0.0, 40) called

TrackLeftWallOffset: Start tracking offset of 40cm with gl_ElapsedSec = 38.3


Sec	LCen	RCen	Front	Rear	FVar	RVar	HdgDeg	ANOMALYCODE

0.1	55.0	200.0	19	200.0	1726	4683	168.2	OBSTACLE_BEHIND
In HandleAnomalousConditions with OBSTACLE_AHEAD error code detected
ANOMALY_OBSTACLE_AHEAD case detected with tracking case Left
